Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Євдокименко,Єва,Тарасівна,Жіноча,02.02.1985,UI/UX дизайнер,хутір Дебальцеве,"парк Відважних, буд. 742 кв. 183, Погребище, 89411",070 597-23-25,rostyslavhaivoronskyi@example.com
Забашта,Федір,Павлович,Чоловіча,28.02.1980,Системний адміністратор,селище Кадіївка,"шосе Супутників, буд. 462 кв. 883, Торецьк, 59516",060 587-97-99,liudmyla17@example.com
Шахрай,Яків,Євгенович,Чоловіча,21.10.2004,Backend розробник,село Рені,"провулок Світла, буд. 90 кв. 224, Горлівка, 63775",+380 (72) 164-85-04,davydshvachko@example.net
Шморгун,Хома,Володимирович,Чоловіча,21.12.1957,Аналітик,хутір Ланівці,"набережна Лінія 27-ма, буд. 694, Генічеськ, 36074",+380 07 712-87-89,udovenkopanas@example.org
Рудик,Борислав,Максимович,Чоловіча,13.11.1996,UI/UX дизайнер,місто Берестин,"шосе Лінія 52-га, буд. 129 кв. 292, Слов'янськ, 46411",668 41 73,avhustyn14@example.org
Олійник,Охрім,Вікторович,Чоловіча,31.08.1958,DevOps інженер,хутір Мерефа,"набережна Скляний 3-й, буд. 7, Василівка, 78997",022 912 23 15,barannykstepan@example.net
Євтушок,Орхип,Денисович,Чоловіча,23.03.1999,Тестувальник,місто Ковель,"узвіз Зоряна, буд. 7, Енергодар, 22953",+380 86 654-44-71,jbalaban@example.net
Скопенко,Соломон,Олексійович,Чоловіча,03.10.1966,UI/UX дизайнер,село Остер,"узвіз Євгена Крамаренка, буд. 283, Горохів, 88357",266 30 31,martachubai@example.org
Александренко,Соломон,Тарасович,Чоловіча,07.06.2007,Аналітик,селище Горохів,"провулок Ярморочна площа, буд. 8 кв. 212, Добропілля, 87128",068 636-28-09,leopoldbabak@example.com
Рубець,Павло,Михайлович,Чоловіча,28.10.1994,DevOps інженер,село Алушта,"шосе Пересипський 1-й, буд. 768 кв. 030, Сокиряни, 94644",+380 (83) 810-80-54,ladamenko@example.org
Шевченко,Клавдія,Михайлівна,Жіноча,14.01.1968,Backend розробник,село Ковель,"провулок Обсерваторний, буд. 39 кв. 6, Костопіль, 44358",+380 (36) 772-03-32,whavryliv@example.org
Гаврилюк,Руслан,Олексійович,Чоловіча,30.05.1975,Системний адміністратор,село Апостолове,"проспект Північний, буд. 854 кв. 64, Синельникове, 13731",+380 48 010 47 14,solomon86@example.net
Романчук,Амвросій,Петрович,Чоловіча,08.08.1948,Системний адміністратор,селище Переяслав,"провулок Палубний, буд. 0 кв. 0, Полонне, 43713",+380 (17) 599-18-37,viterboryslav@example.com
Башполченко,Богодар,Тарасович,Чоловіча,18.09.1960,Тестувальник,село Рівне,"узвіз Лузанівська, буд. 2, Родинське, 76958",+380 21 987-68-78,nataliia77@example.net
Стус,Борислав,Сергійович,Чоловіча,04.04.2008,Backend розробник,хутір Камінь-Каширський,"провулок Лузанівка, буд. 9, Миронівка, 60849",+380 (41) 536-49-35,liudmyla10@example.net
Вітрук,Демʼян,Тарасович,Чоловіча,02.12.1949,DevOps інженер,місто Любомль,"шосе Дача Ковалевського, буд. 2 кв. 21, Дружківка, 92397",+380 (13) 565-58-66,lturkalo@example.com
Колісниченко,Орхип,Олегович,Чоловіча,10.07.1994,Системний адміністратор,селище Славутич,"вулиця Лінія 32-га, буд. 952, Новий Калинів, 23281",+380 49 932-59-92,priskaiaremchuk@example.com
Андрієвич,Руслан,Степанович,Чоловіча,27.03.2009,Тестувальник,село Носівка,"набережна Ніжинська, буд. 92, Волочиськ, 92408",022-96-45,adamenkoamvrosii@example.net
Медведенко,Микита,Артемович,Чоловіча,20.12.2001,Тестувальник,хутір Зміїв,"проспект Анатолія Бачинського, буд. 454 кв. 615, Обухів, 16062",098 06 43,volodymyra36@example.org
Бабенко,Болеслав,Сергійович,Чоловіча,16.07.1992,Системний адміністратор,селище Новий Калинів,"шосе Цукровий, буд. 169, Жовква, 31431",035 515 82 89,rozaliia92@example.net
Дашкевич,Яків,Сергійович,Чоловіча,27.03.1947,Тестувальник,місто Звенигородка,"площа Тепла, буд. 366 кв. 383, Лисичанськ, 93799",+380 82 307 58 99,anita89@example.org
Ющенко,Тимофій,Богданович,Чоловіча,06.12.1946,Аналітик,село Очаків,"парк Савицький, буд. 43, Балаклія, 02274",466-31-41,irena86@example.net
Опанасенко,Августин,Олегович,Чоловіча,19.12.1974,DevOps інженер,місто Теплодар,"парк Трибуни героїв, буд. 33 кв. 6, Павлоград, 29600",+380 (49) 764-34-49,mykhailovakhnii@example.org
Ющенко,Кирило,Вікторович,Чоловіча,05.07.2010,Тестувальник,село Вільнянськ,"проспект Овідіопольський, буд. 9 кв. 66, Вільногірськ, 99984",643-21-45,valentyn25@example.com
Ґалаґан,Августин,Тарасович,Чоловіча,09.01.1949,Системний адміністратор,село Ялта,"узвіз Лінія 44-та, буд. 4, Дніпро, 47378",168 69 74,rbandura@example.org
Гавришкевич,Амалія,Віталіївна,Жіноча,25.01.1966,Тестувальник,село Лозова,"вулиця Степний 2-й, буд. 5 кв. 3, Сіверськодонецьк, 79959",069 369 88 61,marusiavernyhora@example.net
Тичина,Назар,Степанович,Чоловіча,21.11.2005,Тестувальник,хутір Бахмут,"провулок Бутишів, буд. 2 кв. 1, Кипуче, 89190",228 74 19,korbutokseniia@example.com
Ващенко-Захарченко,Макар,Денисович,Чоловіча,20.01.1980,Аналітик,селище Дніпро,"вулиця Пересипська 1-ша, буд. 3, Добромиль, 84159",+380 09 087 87 16,ada24@example.org
Ващенко,Трохим,Петрович,Чоловіча,22.12.2000,Системний адміністратор,місто Феодосія,"провулок 7-ма Лінія Дачі Ковалевського, буд. 93, Волочиськ, 13293",+380 67 455-14-72,darynabaida@example.org
Рубан,Анастасія,Володимирівна,Жіноча,01.10.1969,Системний адміністратор,село Вижниця,"площа Літературна, буд. 5, Ананьїв, 37669",044 604 13 43,borys53@example.com
Павличенко,Зорян,Юрійович,Чоловіча,16.03.1991,Системний адміністратор,місто Чоп,"шосе Тарутинська, буд. 8, Глобине, 33635",+380 95 014-20-96,marta93@example.com
Вишняк,Соломія,Андріївна,Жіноча,03.01.1996,Аналітик,селище Авдіївка,"набережна Лінія 30-та, буд. 144 кв. 381, Ясинувата, 77337",+380 06 056 19 73,vanchenkoarkadii@example.org
Уманець,Костянтин,Богданович,Чоловіча,10.05.1995,Тестувальник,хутір Шпола,"узвіз Самодіяльна, буд. 0 кв. 5, Красногорівка, 74047",+380 (16) 955-91-23,stepancharnysh@example.org
Дуплій,Марія,Євгенівна,Жіноча,07.10.1986,DevOps інженер,місто Чугуїв,"сквер Венгера, буд. 984 кв. 11, Чоп, 64873",+380 (52) 697-73-50,skonoplia@example.com
Забашта,Ростислав,Денисович,Чоловіча,29.11.1952,Backend розробник,село Костянтинівка,"набережна Аптекарський, буд. 54, Сватове, 31943",658-52-73,klymentchaika@example.org
Ярош,Арсен,Євгенович,Чоловіча,29.09.1966,DevOps інженер,місто Батурин,"проспект Чехівського, буд. 51 кв. 850, Ічня, 03540",566-46-13,romanshtepa@example.com
Голобородько,Одарка,Сергіївна,Жіноча,06.08.1968,Аналітик,хутір Ковель,"узвіз Тарутинська, буд. 95, Дніпро, 30638",+380 62 716-40-20,solomonandrusenko@example.com
Кальченко,Сергій,Русланович,Чоловіча,08.01.1997,Backend розробник,селище Харків,"набережна Ювілейний 1-й, буд. 715 кв. 4, Пирятин, 40715",026 801-86-23,okseniiasirchenko@example.com
Удовенко,Антон,Максимович,Чоловіча,25.06.1985,DevOps інженер,селище Збараж,"набережна Петра Лещенка, буд. 37, Бровари, 20071",+380 95 070-47-08,tzaporozhets@example.net
Саченко,Одарка,Євгенівна,Жіноча,24.03.2003,UI/UX дизайнер,місто Волочиськ,"проспект Чорноморський 4-й, буд. 671 кв. 207, Красилів, 85425",+380 38 263-21-52,eandriievych@example.net
Свистун,Тетяна,Віталіївна,Жіноча,30.03.2008,Аналітик,хутір Гуляйполе,"набережна Маковий, буд. 5, Белз, 91952",590 80 19,oleksandrmazur@example.org
Ґерус,Віолетта,Віталіївна,Жіноча,22.03.2006,DevOps інженер,хутір Токмак,"узвіз Миколи Боровського, буд. 979 кв. 0, Заставна, 01336",+380 (97) 633-37-92,danyliukihnat@example.org
Панчук,Юстина,Сергіївна,Жіноча,27.11.2001,Backend розробник,селище Пирятин,"шосе Розумовський 2-й, буд. 2, Щастя, 65471",794-99-31,amvrosiivertyporokh@example.net
Заєць,Богдан,Олегович,Чоловіча,13.10.1959,Аналітик,селище Любомль,"парк Скрипковий, буд. 639, Турка, 58924",038 901 82 15,zakharenkovenedykt@example.org
Заїка,Геннадій,Володимирович,Чоловіча,04.04.1996,DevOps інженер,селище Оріхів,"набережна Учнівська, буд. 89, Кипуче, 51719",+380 (05) 320-02-78,ivan60@example.com
Цюцюра,Азар,Тарасович,Чоловіча,29.12.1969,Аналітик,село Сіверськ,"узвіз 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 5 кв. 956, Отаманівка, 10623",+380 04 547-88-11,uzaiets@example.net
Давиденко,Ярослав,Євгенович,Чоловіча,22.12.2006,Аналітик,хутір Вишневе,"парк Поїзна, буд. 5, Новомиргород, 95596",065 667 96 99,aatamanchuk@example.com
Цибуленко,Микита,Степанович,Чоловіча,29.08.2010,DevOps інженер,селище Перевальськ,"парк Український 2-й, буд. 894, Сторожинець, 83549",+380 90 908-11-58,taras03@example.net
Нестеренко,Климент,Олегович,Чоловіча,19.03.1969,DevOps інженер,місто Іршава,"шосе Малинова, буд. 0 кв. 42, Щолкіне, 07470",+380 27 853-23-33,lemeshkoborys@example.com
Свистун,Яків,Олегович,Чоловіча,02.09.1973,Аналітик,хутір Бахмут,"вулиця 4-та Лінія Марії Демченко, буд. 2, Болехів, 33948",+380 24 632-85-85,ichekaliuk@example.com
Акименко,Устим,Володимирович,Чоловіча,15.05.1958,Backend розробник,село Носівка,"узвіз Траса Здоров'я, буд. 205, Дергачі, 18871",+380 13 122-76-54,tkachenkolukian@example.org
Батіг,Ігор,Євгенович,Чоловіча,12.03.1958,Системний адміністратор,село Почаїв,"узвіз Віталія Блажка, буд. 413 кв. 0, Коломия, 99490",+380 01 222 02 05,lmiroshnychenko@example.net
Авраменко,Анастасія,Петрівна,Жіноча,01.01.1994,UI/UX дизайнер,місто Василівка,"площа Геранієва, буд. 320 кв. 696, Лозова, 09223",074 667 74 23,ivanchenkosolomon@example.com
Лаба,Ярослава,Іванівна,Жіноча,06.08.1974,Аналітик,село Нова Одеса,"проспект 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 063 кв. 66, Куп'янськ, 75057",511 54 95,chekaliukhavrylo@example.net
Годунок,Тереза,Олексіївна,Жіноча,01.01.1972,Backend розробник,селище Святогірськ,"узвіз Саймона Літмана, буд. 0, Моспине, 89485",+380 (97) 854-90-11,albinavlasenko@example.com
Гресь,Віолетта,Володимирівна,Жіноча,08.05.1992,UI/UX дизайнер,місто Долинська,"проспект Байкал тупик, буд. 8 кв. 8, Заводське, 45977",351 89 92,babiakvolodymyra@example.com
Тесленко,Пармен,Михайлович,Чоловіча,06.09.1987,Backend розробник,село Маріуполь,"шосе Заньковецької, буд. 3 кв. 69, Борщів, 20713",262 98 49,bohdanmamchur@example.com
Ґжицький,Левко,Михайлович,Чоловіча,11.04.1989,DevOps інженер,селище Хоростків,"шосе Виноградна 1-ша, буд. 56 кв. 605, Суходільськ, 46110",+380 69 405-79-72,rchornovil@example.com
Чарниш,Світлана,Вікторівна,Жіноча,31.08.2008,DevOps інженер,селище Южноукраїнськ,"площа Мала Арнаутська, буд. 3 кв. 493, Овруч, 37707",+380 60 373-17-17,leonid38@example.com
Мірошниченко,Панас,Андрійович,Чоловіча,07.07.1951,Тестувальник,селище Хуст,"узвіз Флотський 2-й, буд. 557, Охтирка, 31304",034 715-88-08,ykybkalo@example.net
Саєнко,Розалія,Павлівна,Жіноча,01.04.1985,UI/UX дизайнер,місто Кальміуське,"провулок Чорноморський 9-й, буд. 69, Хутір-Михайлівський, 03836",046 980-44-24,hanna34@example.com
Свистун,Соломія,Євгенівна,Жіноча,14.11.1990,DevOps інженер,місто Жовква,"парк Підйомний, буд. 751, Дубляни, 02729",074 265-80-60,symonenkomartyn@example.net
Кармалюк,Валентин,Михайлович,Чоловіча,27.08.2003,DevOps інженер,місто Бережани,"провулок Соляний 2-й, буд. 27, Чигирин, 61967",075 922 39 98,davydenkoedyta@example.com
Яремків,Оксенія,Володимирівна,Жіноча,29.10.1950,Системний адміністратор,місто Маріуполь,"сквер Андрія Музичка, буд. 889 кв. 55, Зимогір'я, 74377",072 894 99 36,oleksaartiushenko@example.com
Корбут,Ярослава,Віталіївна,Жіноча,21.09.1969,Аналітик,селище Енергодар,"проспект Новий, буд. 28, Новий Розділ, 95401",+380 51 415-83-84,nnehoda@example.com
Кабаненко,Стефан,Андрійович,Чоловіча,06.08.1968,Тестувальник,хутір Таврійськ,"шосе Мусіна, буд. 74, Жмеринка, 95899",579 80 31,sbezditko@example.com
Баранець,Наталія,Павлівна,Жіноча,11.07.1995,DevOps інженер,хутір Яворів,"провулок Грузовий, буд. 81, Пирятин, 74800",575 97 49,lchumachenko@example.net
Ребрик,Валерій,Андрійович,Чоловіча,30.10.1952,Системний адміністратор,місто Радехів,"проспект Лінія 50-та, буд. 132 кв. 71, Борщів, 29872",+380 35 874-19-45,tymofii51@example.org
Девдюк,Валентина,Володимирівна,Жіноча,18.10.1983,UI/UX дизайнер,хутір Остер,"провулок Аеропортівський 2-й, буд. 58, Світловодськ, 53753",041 110 03 47,boleslav72@example.org
Андрійчук,Юхим,Степанович,Чоловіча,09.06.1957,Тестувальник,хутір Новогродівка,"провулок Почаївська, буд. 184 кв. 461, Костопіль, 54266",+380 (87) 290-51-80,zorian08@example.net
Мазепа,Павло,Іванович,Чоловіча,22.01.1990,Системний адміністратор,хутір Берислав,"провулок Вернидуба, буд. 68, Славута, 08913",+380 39 407-31-24,pylypenkonazar@example.org
Базилевська,Оксенія,Петрівна,Жіноча,30.03.1961,Backend розробник,село Дунаївці,"сквер Шахтинський, буд. 39, Южноукраїнськ, 50350",+380 36 369-29-11,solomonhavryliuk@example.net
Шведченко,Антон,Михайлович,Чоловіча,02.01.2007,Аналітик,селище Кролевець,"провулок Горбатий міст, буд. 54 кв. 867, Інкерман, 55075",+380 48 010 77 83,andreikosolomiia@example.org
Ващук,Надія,Михайлівна,Жіноча,11.10.1985,Системний адміністратор,місто Кадіївка,"проспект Абрикосовий, буд. 05 кв. 50, Устилуг, 47730",033 325-13-13,ustymiurchuk@example.com
Цибуленко,Теодор,Русланович,Чоловіча,02.10.1962,UI/UX дизайнер,місто Суходільськ,"набережна Евлії Челебі, буд. 882, Звенигородка, 74769",+380 78 377-42-51,wvertyporokh@example.org
Тесля,Охрім,Денисович,Чоловіча,13.11.1969,Тестувальник,хутір Саки,"провулок Василя Кандинського 3-й, буд. 03 кв. 356, Ананьїв, 23419",098 070-42-75,kliashko@example.net
Запорожець,Олесь,Віталійович,Чоловіча,02.11.1977,Аналітик,селище Березань,"набережна 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 94, Тетіїв, 62428",+380 47 519 10 56,terezachornovil@example.org
Бабійчук,Спас,Сергійович,Чоловіча,28.08.1948,UI/UX дизайнер,місто Снятин,"узвіз Соборна, буд. 76 кв. 0, Кипуче, 85383",+380 39 848-66-87,iustynabebeshko@example.org
Кабаненко,Світлана,Євгенівна,Жіноча,08.06.1991,Backend розробник,селище Гола Пристань,"узвіз Лесі Українки, буд. 23, Львів, 39211",077 154-15-63,zhalilobohdan@example.com
Влох,Тимофій,Тарасович,Чоловіча,02.06.1954,Backend розробник,хутір Вознесенівка,"шосе Дніпровська, буд. 63, Хуст, 02520",+380 81 744-26-72,mariana35@example.net
Гайворонський,Теодор,Олексійович,Чоловіча,27.08.1951,Тестувальник,хутір Южноукраїнськ,"проспект Степана Олійника узвіз, буд. 867 кв. 457, Ізмаїл, 61549",+380 96 016-20-73,andrii33@example.net
Швайка,Лариса,Степанівна,Жіноча,08.03.2011,UI/UX дизайнер,хутір Шостка,"вулиця Задніпровського, буд. 95, Рогатин, 35160",+380 98 852 86 77,vladyslavriabovil@example.com
Червоненко,Маруся,Артемівна,Жіноча,02.10.1969,Тестувальник,селище Волочиськ,"провулок Деревообробний 2-й, буд. 2, Болехів, 98543",+380 99 595-17-87,dakhnopanteleimon@example.org
Бабенко,Оксана,Вікторівна,Жіноча,07.06.1974,DevOps інженер,селище Мукачево,"шосе Ялинковий, буд. 8 кв. 9, Новоселиця, 24946",+380 (05) 352-56-19,semenkhrystych@example.com
Тарасенко,Еріка,Віталіївна,Жіноча,31.01.1963,Backend розробник,селище Житомир,"провулок Лінія 31-ша, буд. 68, Тячів, 02785",+380 (32) 655-31-03,odarka02@example.com
Бабко,Анастасія,Іванівна,Жіноча,01.11.1951,Аналітик,село Долинська,"шосе Митна, буд. 921 кв. 321, Генічеськ, 75074",+380 38 205-65-44,ustym93@example.net
Оліфіренко,Єва,Петрівна,Жіноча,10.09.1998,UI/UX дизайнер,село Новоазовськ,"парк Ніжинська, буд. 5, Вашківці, 49747",+380 70 327-25-68,qshamrai@example.com
Макогон,Василь,Петрович,Чоловіча,31.07.2000,Системний адміністратор,село Сміла,"узвіз Матроський узвіз, буд. 898 кв. 835, Сновськ, 65750",+380 (61) 187-91-20,miaremenko@example.com
Кириленко,Ярина,Іванівна,Жіноча,26.05.1960,Аналітик,місто Біляївка,"проспект Лінія 48-ма, буд. 11, Хирів, 14058",+380 58 679-66-99,skopenkohanna@example.net
Чуйко,Аніта,Артемівна,Жіноча,18.03.1976,DevOps інженер,хутір Шостка,"площа Максима Чайки, буд. 379 кв. 456, Стрий, 25888",+380 44 950-78-81,alevtynpetliura@example.net
Дуплій,Владислав,Юрійович,Чоловіча,06.10.1987,UI/UX дизайнер,місто Кодима,"парк Жолкова Бориса, буд. 5 кв. 457, Березне, 02047",+380 (93) 275-40-00,danmakarenko@example.com
Вергун,Климент,Павлович,Чоловіча,10.02.2003,DevOps інженер,село Куп'янськ,"провулок Кладовищний, буд. 666 кв. 29, Шептицький, 07092",+380 (88) 007-32-34,orynatiahnybok@example.com
Петлюра,Богодар,Володимирович,Чоловіча,22.07.1958,DevOps інженер,хутір Чистякове,"узвіз 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 15, Жовті Води, 30776",084 268-32-62,huzmariana@example.net
Вернигора,Маруся,Сергіївна,Жіноча,20.03.1999,Аналітик,місто Коломия,"шосе Естонська, буд. 43, Вовчанськ, 38860",+380 57 848-99-16,mriaboshapka@example.com
Притула,Віолетта,Євгенівна,Жіноча,03.06.1982,Backend розробник,місто Кролевець,"узвіз Ювілейний 1-й, буд. 92, Харцизьк, 89112",+380 70 944-61-76,mdzhus@example.org
Ванченко,Христина,Юріївна,Жіноча,21.10.1992,Тестувальник,хутір Заставна,"проспект 15-та ст. Великого Фонтану пляж, буд. 303, Українськ, 90517",+380 31 202-25-21,irena54@example.net
Корж,Орина,Русланівна,Жіноча,21.04.1951,Тестувальник,місто Полонне,"площа Садова 6-та, буд. 2, Шумськ, 42550",+380 (20) 577-69-97,matiashlukian@example.com
Пустовіт,Надія,Вікторівна,Жіноча,29.07.1951,Аналітик,селище Городенка,"площа Миколи Гумільова, буд. 7 кв. 6, Тростянець, 50098",+380 (62) 869-80-55,zaichenkoliza@example.org
Рева,Володимира,Богданівна,Жіноча,05.02.1981,UI/UX дизайнер,село Яворів,"проспект Аеропортівський 5-й, буд. 66, Бурштин, 50918",029 998-55-43,haidaidanna@example.com
Ющенко,Давид,Олексійович,Чоловіча,26.04.1973,Системний адміністратор,хутір Ужгород,"вулиця Вознесенський, буд. 42, Умань, 57202",223-76-15,pavlo01@example.org
Саченко,Сергій,Вікторович,Чоловіча,19.09.1999,UI/UX дизайнер,селище Зіньків,"парк Дача Ковалевського, буд. 1, Миронівка, 48967",130-26-85,artem50@example.com
Опанасенко,Оксенія,Максимівна,Жіноча,10.05.1986,DevOps інженер,село Авдіївка,"провулок Юрія Кондратюка, буд. 221 кв. 623, Яворів, 76705",+380 34 471-48-37,ggerus@example.org
Павленко,Мартин,Іванович,Чоловіча,13.02.2005,Аналітик,хутір Вільнянськ,"сквер Моторний 2-й, буд. 2, Шепетівка, 47928",+380 43 104-07-71,anastasiiadankevych@example.org
Бандурка,Нестор,Євгенович,Чоловіча,05.11.1985,Системний адміністратор,село Рудки,"провулок Роздольна, буд. 9 кв. 2, Збараж, 67557",099 029-93-07,tymofii00@example.net
Рябошапка,Устим,Богданович,Чоловіча,24.01.1949,Backend розробник,хутір Керч,"сквер Олександра Юрженка, буд. 236, Вуглегірськ, 89643",+380 27 288-29-54,zskoryk@example.org
Яремко,Лілія,Олексіївна,Жіноча,17.02.1955,Тестувальник,селище Пирятин,"вулиця Князя Ярослава Мудрого, буд. 43 кв. 413, Макіївка, 03796",+380 (62) 343-82-60,mykhailokhorishko@example.com
Андрейко,Борислав,Максимович,Чоловіча,11.03.1997,Системний адміністратор,село Старокостянтинів,"набережна Верф’яний, буд. 23, Миронівка, 03268",680 26 74,mykhailo30@example.com
Карась,Ліза,Сергіївна,Жіноча,25.08.1954,Backend розробник,місто Зміїв,"набережна Теофіла Фраєрмана, буд. 725 кв. 392, Синельникове, 28633",+380 89 751-79-15,boleslavkadeniuk@example.org
Джус,Оксенія,Вікторівна,Жіноча,12.12.1956,UI/UX дизайнер,селище Кролевець,"шосе Лиманчик 2-й Лінія 2-га, буд. 074, Хирів, 87029",+380 01 218-90-41,rvernydub@example.org
Яценко,Захар,Тарасович,Чоловіча,27.08.1946,Аналітик,село Нетішин,"набережна Топольського, буд. 6 кв. 4, Новояворівськ, 54003",+380 (13) 660-26-15,myron38@example.net
Шелест,Мирослав,Андрійович,Чоловіча,26.04.1991,Тестувальник,село Новогродівка,"площа Почаївська, буд. 5, Сіверськ, 73658",935-45-52,anastasiiasatsiuk@example.net
Стельмах,Стефан,Денисович,Чоловіча,23.10.1992,Аналітик,хутір Самбір,"шосе Пересипська 5-та, буд. 1, Дрогобич, 97451",031-80-49,hryhorii80@example.org
Скоробогатько,Прохір,Максимович,Чоловіча,05.07.1979,Системний адміністратор,місто Лебедин,"вулиця Сергія Параджанова, буд. 7, Кам'янець-Подільський, 12700",+380 (03) 599-92-29,kostiantynishchenko@example.com
Тарасенко,Богуслава,Максимівна,Жіноча,06.12.1981,Backend розробник,місто Берестин,"узвіз Хімічний 2-й, буд. 2 кв. 65, Камінь-Каширський, 85567",217 44 56,valentynadanylchuk@example.com
Сич,Венедикт,Степанович,Чоловіча,06.01.1951,UI/UX дизайнер,хутір Славута,"провулок Бітумна, буд. 296 кв. 162, Татарбунари, 83595",+380 89 099 78 75,solomiiamasokha@example.org
Верховинець,Борислав,Артемович,Чоловіча,10.06.1995,Аналітик,місто Бар,"сквер Чорноморський 7-й, буд. 04, Львів, 18285",091 565 58 44,nestor86@example.org
Вітер,Гордій,Денисович,Чоловіча,06.09.1965,UI/UX дизайнер,село Донецьк,"вулиця Квантовий, буд. 45 кв. 0, Охтирка, 71116",290-24-96,ielysei01@example.org
Шморгун,Михайлина,Юріївна,Жіноча,15.01.2010,DevOps інженер,селище Знам'янка,"узвіз Лазурний 4-й, буд. 62 кв. 4, Конотоп, 95085",+380 95 813 17 74,oleksapushkar@example.org
Зубко,Леонід,Артемович,Чоловіча,21.04.1991,DevOps інженер,місто Білицьке,"площа Соляний 2-й, буд. 31, Новодружеськ, 92956",+380 15 217-95-27,larysa20@example.org
Атрощенко,Богуслава,Артемівна,Жіноча,20.04.1947,DevOps інженер,село Хотин,"сквер Новощіпний ряд, буд. 477, Запоріжжя, 44217",029 850 28 43,mykolai81@example.net
Гунько,Зорян,Юрійович,Чоловіча,23.05.1975,Системний адміністратор,селище Бурштин,"набережна Радісна, буд. 466, Торецьк, 77700",+380 16 636-91-13,shaievskyi@example.org
Козаченко,Руслан,Віталійович,Чоловіча,07.08.1983,DevOps інженер,хутір Сторожинець,"шосе Балтська дорога, буд. 4, Балта, 43728",052 531 09 03,vchumak@example.org
Бабійчук,Софія,Юріївна,Жіноча,03.03.1981,Аналітик,місто Святогірськ,"проспект Вітчизняна, буд. 0, Тернівка, 34479",+380 67 663-27-80,zakhar27@example.org
Ващенко-Захарченко,Максим,Богданович,Чоловіча,15.02.1952,Тестувальник,хутір Березань,"вулиця Бориса Едуардса, буд. 3 кв. 0, Кам'янське, 89948",+380 (49) 806-82-35,mykhailyna08@example.net
Романчук,Роксолана,Олексіївна,Жіноча,26.12.2003,DevOps інженер,село Старокостянтинів,"сквер Купріна, буд. 28, Нова Каховка, 74014",043 260-16-68,eduardzakusylo@example.net
Гузенко,Богодар,Денисович,Чоловіча,29.05.1984,Системний адміністратор,хутір Прип'ять,"сквер Павла Зеленого, буд. 3 кв. 2, Шептицький, 93233",+380 07 235-84-23,frantsvoblyi@example.net
Христенко,Августин,Юрійович,Чоловіча,18.01.1957,Тестувальник,село Скадовськ,"сквер Бригадна, буд. 92 кв. 1, Остер, 81483",+380 79 043 53 52,ualeksiichuk@example.com
Данилюк,Ганна,Іванівна,Жіноча,19.11.1991,UI/UX дизайнер,село Корюківка,"проспект Миколи Троїцького, буд. 929, Самбір, 51897",017 622-92-98,hordiidrobiazko@example.org
Дубас,Ірена,Сергіївна,Жіноча,08.10.1987,Аналітик,село Вінниця,"парк Штурманська, буд. 64 кв. 8, Федорівка, 68902",572-87-80,hshylo@example.com
